topic,content,publisher_id,timestamp,latency
humidity,57.582579334770735,pub1,2023-02-12T13:31:28,-34.1272931098938
temperature,67,pub1,2023-02-12T13:31:28,-33.126315116882324
airquality,smog,pub1,2023-02-12T13:31:28,-32.12258696556091
humidity,53.20307548925292,pub1,2023-02-12T13:31:28,-31.121115922927856
temperature,-31,pub1,2023-02-12T13:31:28,-30.11963200569153
airquality,smog,pub1,2023-02-12T13:31:28,-29.117412090301514
humidity,37.74226069941888,pub1,2023-02-12T13:31:28,-28.115823984146118
temperature,-72,pub1,2023-02-12T13:31:28,-27.114155054092407
airquality,good,pub1,2023-02-12T13:31:28,-26.112612009048462
humidity,39.159009849783104,pub1,2023-02-12T13:31:28,-25.11134099960327
temperature,54,pub1,2023-02-12T13:31:28,-24.109463930130005
airquality,smog,pub1,2023-02-12T13:31:28,-23.108139038085938
humidity,86.35851685750133,pub1,2023-02-12T13:31:28,-22.106426000595093
temperature,7,pub1,2023-02-12T13:31:28,-21.10493493080139
airquality,good,pub1,2023-02-12T13:31:28,-20.103496074676514
humidity,74.4143000615576,pub1,2023-02-12T13:31:28,-19.10132598876953
temperature,-66,pub1,2023-02-12T13:31:28,-18.099695920944214
airquality,poor,pub1,2023-02-12T13:31:28,-17.098022937774658
humidity,45.71395268012269,pub1,2023-02-12T13:31:28,-16.09635305404663
temperature,-2,pub1,2023-02-12T13:31:28,-15.095412015914917
airquality,smog,pub1,2023-02-12T13:31:28,-14.093775033950806
humidity,29.183879214968044,pub1,2023-02-12T13:31:28,-13.092408895492554
temperature,-3,pub1,2023-02-12T13:31:28,-12.090984106063843
airquality,smog,pub1,2023-02-12T13:31:28,-11.090411901473999
humidity,30.341834302541287,pub1,2023-02-12T13:31:28,-10.08945894241333
temperature,2,pub1,2023-02-12T13:31:28,-9.086988925933838
airquality,good,pub1,2023-02-12T13:31:28,-8.085429906845093
humidity,42.4270110887594,pub1,2023-02-12T13:31:28,-7.084846019744873
temperature,-75,pub1,2023-02-12T13:31:28,-6.083388090133667
airquality,good,pub1,2023-02-12T13:31:28,-5.0823729038238525
humidity,39.55273249911649,pub1,2023-02-12T13:31:28,-4.080873966217041
temperature,31,pub1,2023-02-12T13:31:28,-3.079451084136963
airquality,good,pub1,2023-02-12T13:31:28,-2.0784499645233154
humidity,85.04464820463033,pub1,2023-02-12T13:31:28,-1.0770070552825928
temperature,42,pub1,2023-02-12T13:31:28,-0.07560205459594727
airquality,poor,pub1,2023-02-12T13:31:28,0.9256908893585205
humidity,98.0895094615438,pub1,2023-02-12T13:31:28,1.9271628856658936
temperature,96,pub1,2023-02-12T13:31:28,2.9286890029907227
airquality,smog,pub1,2023-02-12T13:31:28,3.9295859336853027
humidity,57.4704707788827,pub1,2023-02-12T13:31:28,4.93100905418396
temperature,72,pub1,2023-02-12T13:31:28,5.932589054107666
airquality,good,pub1,2023-02-12T13:31:28,6.934221982955933
humidity,71.33619731108527,pub1,2023-02-12T13:31:28,7.935813903808594
temperature,-7,pub1,2023-02-12T13:31:28,8.937751054763794
airquality,good,pub1,2023-02-12T13:31:28,9.939199924468994
humidity,48.946768470885814,pub1,2023-02-12T13:31:28,10.94063401222229
temperature,-26,pub1,2023-02-12T13:31:28,11.941725015640259
airquality,good,pub1,2023-02-12T13:31:28,12.943195104598999
humidity,89.47566161286765,pub1,2023-02-12T13:31:28,13.944960117340088
temperature,-24,pub1,2023-02-12T13:31:28,14.945616006851196
airquality,poor,pub1,2023-02-12T13:31:28,15.947107076644897
humidity,27.281142388784556,pub1,2023-02-12T13:31:28,16.9486300945282
temperature,85,pub1,2023-02-12T13:31:28,17.949599981307983
airquality,good,pub1,2023-02-12T13:31:28,18.95101809501648
humidity,65.05262783519157,pub1,2023-02-12T13:31:28,19.95256805419922
temperature,-32,pub1,2023-02-12T13:31:28,20.9567289352417
airquality,poor,pub1,2023-02-12T13:31:28,21.958014965057373
humidity,97.49105293010629,pub1,2023-02-12T13:31:28,22.959439039230347
temperature,97,pub1,2023-02-12T13:31:28,23.960982084274292
airquality,smog,pub1,2023-02-12T13:31:28,24.962292909622192
